,name,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
1,Picture To Burn,Taylor Swift,2006-10-24,173,64,0.658,0.173,0.877,0.0,0.0962,-2.098,0.0323,0.821,105.586
2,Our Song,Taylor Swift,2006-10-24,201,68,0.668,0.111,0.672,0.0,0.329,-4.931,0.0303,0.539,89.011
3,Should've Said No,Taylor Swift,2006-10-24,242,61,0.476,0.0103,0.777,0.0,0.196,-3.771,0.0289,0.472,167.964
4,Tim McGraw,Taylor Swift,2006-10-24,232,62,0.58,0.575,0.491,0.0,0.121,-6.462,0.0251,0.425,76.009
5,A Place in this World,Taylor Swift,2006-10-24,199,51,0.576,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028
6,Cold As You,Taylor Swift,2006-10-24,239,51,0.418,0.217,0.482,0.0,0.123,-5.769,0.0266,0.261,175.558
7,The Outside,Taylor Swift,2006-10-24,207,48,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.982
8,Tied Together with a Smile,Taylor Swift,2006-10-24,248,49,0.479,0.525,0.578,0.0,0.0841,-4.963,0.0294,0.192,146.165
9,Stay Beautiful,Taylor Swift,2006-10-24,236,50,0.594,0.0868,0.629,0.0,0.137,-4.919,0.0246,0.504,131.597
10,Mary's Song (Oh My My My),Taylor Swift,2006-10-24,213,53,0.403,0.0177,0.627,0.0,0.182,-5.28,0.0292,0.374,74.9
11,I'm Only Me When I'm With You,Taylor Swift,2006-10-24,213,53,0.563,0.00452,0.934,0.000807,0.103,-3.629,0.0646,0.518,143.964
12,Invisible,Taylor Swift,2006-10-24,203,49,0.612,0.637,0.394,0.0,0.147,-5.723,0.0243,0.233,96.001
13,A Perfectly Good Heart,Taylor Swift,2006-10-24,220,46,0.483,0.00349,0.751,0.0,0.128,-5.726,0.0365,0.268,156.092
14,Teardrops on My Guitar - Pop Version,Taylor Swift,2006-10-24,179,50,0.459,0.0402,0.753,0.0,0.0863,-3.827,0.0537,0.483,199.997
15,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203,64,0.621,0.288,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953
16,You Belong With Me,Fearless,2008-11-11,231,54,0.687,0.164,0.771,2.46e-05,0.112,-4.424,0.0384,0.445,129.964
17,White Horse,Fearless,2008-11-11,234,46,0.585,0.302,0.346,0.0,0.102,-8.014,0.0256,0.195,92.564
18,Fearless,Fearless,2008-11-11,242,47,0.598,0.0364,0.714,1.04e-06,0.31,-4.397,0.0273,0.467,99.979
19,Fifteen,Fearless,2008-11-11,294,47,0.559,0.0728,0.636,0.0,0.144,-4.4,0.0263,0.214,95.485
20,Jump Then Fall,Fearless,2008-11-11,237,46,0.618,0.111,0.687,0.0,0.0693,-5.737,0.0271,0.82,79.991
21,Untouchable,Fearless,2008-11-11,311,45,0.419,0.0583,0.454,3.78e-06,0.0974,-6.809,0.0335,0.288,200.017
22,Forever & Always - Piano Version,Fearless,2008-11-11,268,46,0.592,0.852,0.16,0.0,0.116,-10.785,0.0347,0.294,118.929
23,Come In With The Rain,Fearless,2008-11-11,238,44,0.527,0.0868,0.475,4.34e-06,0.248,-6.205,0.0258,0.224,143.962
24,SuperStar,Fearless,2008-11-11,261,42,0.61,0.367,0.531,0.0,0.351,-6.123,0.0239,0.228,85.979
25,The Other Side Of The Door,Fearless,2008-11-11,238,44,0.476,0.169,0.816,0.0,0.238,-4.279,0.0347,0.469,163.847
26,Hey Stephen,Fearless,2008-11-11,254,44,0.843,0.168,0.553,2.66e-06,0.107,-7.348,0.0317,0.825,115.997
27,Breathe,Fearless,2008-11-11,264,48,0.498,0.373,0.486,0.0,0.113,-7.384,0.0273,0.17,147.952
28,Tell Me Why,Fearless,2008-11-11,201,42,0.601,0.0606,0.852,3.41e-06,0.37,-3.096,0.0386,0.513,100.015
29,You're Not Sorry,Fearless,2008-11-11,262,44,0.459,0.13,0.459,2.3e-06,0.113,-4.126,0.0275,0.281,134.018
30,The Way I Loved You,Fearless,2008-11-11,244,46,0.436,0.0322,0.712,0.0,0.111,-3.689,0.0329,0.379,160.886
31,Forever & Always,Fearless,2008-11-11,225,46,0.605,0.0907,0.829,0.0,0.106,-4.993,0.0549,0.514,128.012
32,The Best Day,Fearless,2008-11-11,245,42,0.664,0.611,0.447,1e-06,0.139,-8.535,0.0292,0.364,126.079
33,Change,Fearless,2008-11-11,281,41,0.548,0.00471,0.756,0.0,0.117,-4.175,0.036,0.224,96.038
44,Mean,Speak Now,2010-10-25,238,54,0.568,0.452,0.761,0.0,0.217,-3.987,0.0459,0.789,163.974
45,The Story Of Us,Speak Now,2010-10-25,266,55,0.543,0.00478,0.818,0.000368,0.0357,-3.611,0.0398,0.683,139.898
46,Speak Now,Speak Now,2010-10-25,241,53,0.709,0.095,0.599,0.0,0.0973,-3.734,0.0304,0.735,118.975
47,Ours,Speak Now,2010-10-25,238,56,0.608,0.537,0.569,0.0,0.097,-7.227,0.0284,0.238,159.845
48,Mine,Speak Now,2010-10-25,231,56,0.624,0.00265,0.757,1.87e-06,0.189,-2.94,0.0296,0.658,121.07
49,Sparks Fly,Speak Now,2010-10-25,261,57,0.605,0.0396,0.787,1.42e-06,0.163,-3.002,0.0308,0.374,114.987
50,Back To December,Speak Now,2010-10-25,293,56,0.529,0.117,0.67,0.0,0.334,-4.663,0.0303,0.286,141.893
51,Dear John,Speak Now,2010-10-25,404,60,0.589,0.166,0.47,1.45e-06,0.112,-5.32,0.028,0.102,119.386
52,Never Grow Up,Speak Now,2010-10-25,290,55,0.714,0.819,0.305,0.0,0.174,-8.837,0.0305,0.554,124.91
53,Enchanted,Speak Now,2010-10-25,352,55,0.455,0.0739,0.623,0.000424,0.146,-3.878,0.0288,0.208,163.893
54,Better Than Revenge,Speak Now,2010-10-25,217,64,0.516,0.0139,0.917,6.37e-06,0.36,-3.186,0.0827,0.635,145.821
55,Innocent,Speak Now,2010-10-25,302,49,0.552,0.186,0.608,0.0,0.125,-5.29,0.0259,0.17,134.05
56,Haunted,Speak Now,2010-10-25,242,55,0.436,0.0826,0.95,1.08e-06,0.149,-2.627,0.057,0.352,162.088
57,Last Kiss,Speak Now,2010-10-25,367,56,0.371,0.57,0.341,3.09e-05,0.101,-9.475,0.0319,0.196,89.038
58,Long Live,Speak Now,2010-10-25,317,54,0.418,0.036,0.68,7.59e-05,0.114,-4.3,0.0347,0.142,204.12
59,If This Was A Movie,Speak Now,2010-10-25,235,52,0.511,0.166,0.719,4.54e-06,0.34,-3.457,0.0265,0.289,147.852
60,Superman,Speak Now,2010-10-25,276,49,0.582,0.0268,0.765,1.95e-06,0.103,-3.648,0.0324,0.559,131.982
61,Back To December - Acoustic Version,Speak Now,2010-10-25,293,52,0.541,0.748,0.453,0.0,0.2,-6.459,0.0266,0.377,141.757
62,Haunted - Acoustic Version,Speak Now,2010-10-25,218,48,0.563,0.842,0.443,0.0,0.293,-5.078,0.0247,0.313,80.962
63,Mine - POP Mix,Speak Now,2010-10-25,230,46,0.695,0.00727,0.723,1.2e-06,0.1,-3.806,0.0285,0.679,121.011
84,We Are Never Ever Getting Back Together,Red,2012-10-22,192,60,0.628,0.00957,0.676,2.65e-05,0.102,-5.911,0.0916,0.75,85.984
85,I Knew You Were Trouble.,Red,2012-10-22,218,61,0.622,0.00454,0.469,2.25e-06,0.0398,-6.798,0.0363,0.679,77.019
86,22,Red,2012-10-22,230,63,0.658,0.00215,0.729,0.0013,0.0752,-6.561,0.0378,0.668,104.007
87,All Too Well,Red,2012-10-22,328,69,0.602,0.0382,0.609,0.0002,0.127,-7.803,0.0243,0.337,93.06
88,State Of Grace,Red,2012-10-22,295,60,0.588,0.000197,0.825,0.00138,0.0885,-5.882,0.0328,0.397,129.968
89,Red,Red,2012-10-22,221,62,0.602,0.0773,0.896,8.87e-05,0.091,-4.267,0.0437,0.641,124.978
90,Treacherous,Red,2012-10-22,241,59,0.705,0.101,0.621,4.3e-06,0.147,-8.086,0.0334,0.395,109.993
91,I Almost Do,Red,2012-10-22,243,59,0.567,0.0173,0.481,4.13e-05,0.182,-7.357,0.027,0.233,145.865
92,Stay Stay Stay,Red,2012-10-22,205,58,0.729,0.307,0.748,1.29e-06,0.09,-6.67,0.0245,0.928,99.981
93,The Last Time,Red,2012-10-22,298,59,0.505,0.035,0.443,3.15e-06,0.0921,-7.039,0.0276,0.123,94.069
94,Holy Ground,Red,2012-10-22,202,59,0.627,0.0162,0.816,0.00208,0.0966,-6.698,0.0774,0.648,157.043
95,Sad Beautiful Tragic,Red,2012-10-22,284,56,0.624,0.632,0.34,0.0337,0.121,-12.411,0.029,0.261,129.987
96,Everything Has Changed,Red,2012-10-22,244,58,0.624,0.36,0.458,3.89e-06,0.303,-6.755,0.0287,0.436,80.017
97,Starlight,Red,2012-10-22,218,57,0.649,0.0213,0.777,0.000335,0.221,-5.804,0.0406,0.587,126.018
98,Begin Again,Red,2012-10-22,238,57,0.53,0.199,0.526,3.52e-06,0.232,-8.349,0.0263,0.323,79.025
99,Come Back...Be Here,Red,2012-10-22,223,57,0.483,0.00471,0.548,2.01e-06,0.0997,-6.291,0.0254,0.217,79.926
100,Girl At Home,Red,2012-10-22,220,53,0.733,0.272,0.59,0.0,0.136,-5.86,0.0284,0.633,125.048
101,The Lucky One,Red,2012-10-22,240,58,0.706,0.0371,0.499,0.0,0.132,-7.675,0.0369,0.545,117.937
102,The Moment I Knew,Red,2012-10-22,286,56,0.62,0.187,0.506,1.47e-05,0.102,-7.327,0.0312,0.275,126.015
103,State Of Grace - Acoustic Version,Red,2012-10-22,323,54,0.626,0.664,0.118,0.000169,0.127,-15.91,0.0305,0.0682,105.597
104,Treacherous - Original Demo Recording,Red,2012-10-22,240,51,0.828,0.175,0.64,6.14e-05,0.0996,-8.248,0.0355,0.519,109.993
105,Red - Original Demo Recording,Red,2012-10-22,226,51,0.678,0.113,0.902,0.000235,0.0722,-4.659,0.0358,0.637,124.998
108,Blank Space,1989,2014-10-27,232,61,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,0.57,95.997
109,Shake It Off,1989,2014-10-27,219,58,0.647,0.0647,0.8,0.0,0.334,-5.384,0.165,0.942,160.078
110,Style,1989,2014-10-27,231,61,0.588,0.00245,0.791,0.00258,0.118,-5.595,0.0402,0.487,94.933
111,Out Of The Woods,1989,2014-10-27,236,60,0.553,0.000743,0.841,1.19e-05,0.341,-6.937,0.0396,0.338,92.008
112,Wildest Dreams,1989,2014-10-27,220,59,0.55,0.0692,0.688,0.00144,0.106,-7.416,0.0897,0.465,139.997
113,Welcome To New York,1989,2014-10-27,213,55,0.789,0.0348,0.634,1.64e-06,0.302,-4.762,0.0323,0.658,116.992
114,All You Had To Do Was Stay,1989,2014-10-27,193,57,0.605,0.00201,0.725,2.02e-05,0.101,-5.729,0.0323,0.539,96.97
115,I Wish You Would,1989,2014-10-27,207,58,0.653,0.0158,0.893,4.95e-05,0.102,-5.966,0.0538,0.513,118.035
116,Bad Blood,1989,2014-10-27,212,56,0.646,0.0885,0.794,6.16e-06,0.201,-6.104,0.19,0.287,170.216
117,How You Get The Girl,1989,2014-10-27,248,58,0.765,0.00364,0.656,0.00868,0.0918,-6.112,0.0504,0.545,119.997
118,This Love,1989,2014-10-27,250,57,0.481,0.678,0.435,0.0,0.0928,-8.795,0.0321,0.107,143.95
119,I Know Places,1989,2014-10-27,196,58,0.602,0.245,0.755,0.0,0.178,-4.991,0.071,0.495,159.965
120,Clean,1989,2014-10-27,271,60,0.815,0.232,0.377,0.0,0.1,-7.754,0.0346,0.211,103.97
121,Wonderland,1989,2014-10-27,246,60,0.422,0.0493,0.692,2.57e-05,0.177,-5.447,0.0549,0.197,184.014
122,You Are In Love,1989,2014-10-27,267,59,0.474,0.707,0.48,0.000108,0.0903,-8.894,0.0622,0.319,170.109
123,New Romantics,1989,2014-10-27,230,65,0.633,0.00463,0.889,0.000458,0.0658,-5.87,0.0715,0.584,121.956
126,...Ready For It?,reputation,2017-11-10,208,73,0.613,0.0527,0.764,0.0,0.197,-6.509,0.136,0.417,160.015
127,End Game,reputation,2017-11-10,245,71,0.649,0.00845,0.589,0.0,0.108,-6.237,0.0558,0.151,159.073
128,Look What You Made Me Do,reputation,2017-11-10,212,77,0.766,0.204,0.709,1.41e-05,0.126,-6.471,0.123,0.506,128.07
129,Delicate,reputation,2017-11-10,232,77,0.75,0.216,0.404,0.000357,0.0911,-10.178,0.0682,0.0499,95.045
130,Getaway Car,reputation,2017-11-10,234,75,0.562,0.00465,0.689,2.23e-06,0.0888,-6.745,0.127,0.351,172.054
131,Gorgeous,reputation,2017-11-10,210,71,0.8,0.0713,0.535,9.48e-06,0.213,-6.684,0.135,0.451,92.027
132,I Did Something Bad,reputation,2017-11-10,238,73,0.696,0.0679,0.602,2.11e-05,0.0696,-6.156,0.159,0.305,82.989
133,Don’t Blame Me,reputation,2017-11-10,236,72,0.615,0.106,0.534,1.76e-05,0.0607,-6.719,0.0386,0.193,135.917
134,So It Goes...,reputation,2017-11-10,228,65,0.574,0.122,0.61,1.1e-06,0.13,-7.283,0.0732,0.374,74.957
135,King Of My Heart,reputation,2017-11-10,214,68,0.675,0.00882,0.703,2.21e-06,0.0391,-7.902,0.0382,0.314,110.01
136,Dancing With Our Hands Tied,reputation,2017-11-10,212,67,0.624,0.0604,0.691,1.1e-05,0.138,-6.686,0.196,0.284,160.024
137,Dress,reputation,2017-11-10,230,68,0.719,0.0329,0.469,0.0,0.169,-8.792,0.0533,0.0851,120.085
138,This Is Why We Can't Have Nice Things,reputation,2017-11-10,207,68,0.567,0.0156,0.789,0.0,0.382,-5.986,0.115,0.438,163.96
139,Call It What You Want,reputation,2017-11-10,204,70,0.598,0.186,0.504,0.000221,0.34,-9.874,0.0731,0.252,163.954
140,New Year’s Day,reputation,2017-11-10,235,66,0.661,0.921,0.151,0.0,0.13,-12.864,0.0354,0.23,94.922
148,The Man,Lover,2019-08-23,190,76,0.777,0.0767,0.658,0.0,0.0901,-5.191,0.054,0.633,110.048
149,I Forgot That You Existed,Lover,2019-08-23,171,73,0.664,0.298,0.316,2.03e-06,0.0812,-10.345,0.519,0.541,92.875
150,Cruel Summer,Lover,2019-08-23,178,77,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,0.564,169.994
151,Lover,Lover,2019-08-23,221,77,0.359,0.492,0.543,1.58e-05,0.118,-7.582,0.0919,0.453,68.534
152,The Man,Lover,2019-08-23,190,76,0.777,0.0767,0.658,0.0,0.0901,-5.191,0.054,0.633,110.048
153,The Archer,Lover,2019-08-23,211,68,0.292,0.12,0.574,0.00569,0.0663,-9.375,0.0401,0.166,124.344
154,I Think He Knows,Lover,2019-08-23,173,69,0.897,0.00889,0.366,0.000353,0.0715,-8.029,0.0569,0.416,100.003
155,Miss Americana & The Heartbreak Prince,Lover,2019-08-23,234,69,0.662,0.028,0.747,0.00615,0.138,-6.926,0.0736,0.487,150.088
156,Paper Rings,Lover,2019-08-23,222,74,0.811,0.0129,0.719,1.36e-05,0.0742,-6.553,0.0497,0.865,103.979
157,Cornelia Street,Lover,2019-08-23,287,70,0.824,0.781,0.624,0.000189,0.1,-9.728,0.0827,0.248,102.012
158,Death By A Thousand Cuts,Lover,2019-08-23,199,70,0.712,0.454,0.732,0.0,0.319,-6.754,0.0629,0.313,94.071
159,London Boy,Lover,2019-08-23,190,71,0.695,0.0246,0.71,0.000104,0.133,-6.639,0.05,0.557,157.925
160,Soon You’ll Get Better (feat. The Chicks),Lover,2019-08-23,202,65,0.433,0.907,0.182,0.0,0.123,-12.566,0.0641,0.421,207.476
161,False God,Lover,2019-08-23,200,67,0.739,0.736,0.32,0.000147,0.111,-10.862,0.239,0.351,79.97
162,You Need To Calm Down,Lover,2019-08-23,171,80,0.771,0.00929,0.671,0.0,0.0637,-5.617,0.0553,0.714,85.026
163,Afterglow,Lover,2019-08-23,223,68,0.756,0.13,0.449,0.0,0.114,-8.746,0.0344,0.399,111.011
164,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,2019-08-23,193,78,0.61,0.033,0.83,0.0,0.118,-4.105,0.0571,0.728,182.162
165,It’s Nice To Have A Friend,Lover,2019-08-23,150,64,0.737,0.971,0.175,0.000337,0.171,-9.912,0.0401,0.545,70.008
166,Daylight,Lover,2019-08-23,293,67,0.557,0.808,0.496,0.000173,0.0772,-9.602,0.0563,0.265,149.983
182,cardigan,folklore,2020-07-24,240,80,0.613,0.537,0.581,0.000345,0.25,-8.588,0.0424,0.551,130.033
183,exile (feat. Bon Iver),folklore,2020-07-24,286,78,0.298,0.778,0.38,5.62e-05,0.11,-8.426,0.0287,0.152,75.602
184,betty,folklore,2020-07-24,295,72,0.593,0.6,0.377,0.0,0.0976,-8.761,0.0253,0.502,95.939
185,august,folklore,2020-07-24,262,75,0.532,0.538,0.623,7.28e-05,0.0925,-9.208,0.0331,0.403,89.937
186,this is me trying,folklore,2020-07-24,195,70,0.515,0.314,0.476,4.74e-05,0.171,-9.843,0.0328,0.412,135.886
187,the 1,folklore,2020-07-24,210,76,0.777,0.757,0.357,7.28e-06,0.108,-6.942,0.0522,0.172,139.883
188,the last great american dynasty,folklore,2020-07-24,231,71,0.686,0.467,0.662,0.0023,0.109,-8.505,0.0413,0.706,147.922
189,my tears ricochet,folklore,2020-07-24,256,71,0.456,0.806,0.263,0.0,0.0749,-10.63,0.0332,0.111,129.86
190,mirrorball,folklore,2020-07-24,209,70,0.553,0.687,0.413,2.33e-06,0.0594,-10.037,0.0334,0.379,110.107
191,seven,folklore,2020-07-24,209,69,0.596,0.9,0.488,2.7e-05,0.091,-10.769,0.0274,0.415,94.926
192,illicit affairs,folklore,2020-07-24,191,70,0.559,0.881,0.31,0.0,0.106,-10.445,0.0338,0.46,119.845
193,invisible string,folklore,2020-07-24,253,71,0.653,0.838,0.452,7.73e-05,0.108,-11.143,0.055,0.45,83.433
194,mad woman,folklore,2020-07-24,237,67,0.592,0.655,0.699,1.68e-05,0.114,-8.995,0.0471,0.506,141.916
195,epiphany,folklore,2020-07-24,290,67,0.354,0.731,0.267,0.000402,0.0858,-13.69,0.0281,0.113,94.219
196,peace,folklore,2020-07-24,234,67,0.647,0.918,0.272,1.73e-05,0.0918,-12.906,0.0916,0.339,150.044
197,hoax,folklore,2020-07-24,220,67,0.662,0.966,0.181,3.86e-06,0.133,-15.065,0.0415,0.429,118.819
222,willow,evermore,2021-01-07,215,66,0.392,0.833,0.574,0.00179,0.145,-9.195,0.17,0.529,81.112
223,champagne problems,evermore,2021-01-07,244,67,0.462,0.92,0.24,0.0,0.113,-12.077,0.0377,0.32,171.319
224,gold rush,evermore,2021-01-07,185,65,0.512,0.83,0.462,0.166,0.121,-10.491,0.0408,0.353,112.05
225,‘tis the damn season,evermore,2021-01-07,230,65,0.575,0.735,0.434,6.59e-05,0.105,-8.193,0.0312,0.348,145.916
226,tolerate it,evermore,2021-01-07,245,64,0.316,0.878,0.361,2.67e-05,0.0797,-10.381,0.0488,0.221,74.952
227,"no body, no crime (feat. HAIM)",evermore,2021-01-07,216,64,0.546,0.418,0.613,0.0,0.103,-7.589,0.0264,0.535,79.015
228,happiness,evermore,2021-01-07,315,63,0.559,0.87,0.334,0.0,0.114,-10.733,0.0376,0.211,122.079
229,dorothea,evermore,2021-01-07,226,63,0.605,0.696,0.488,0.0,0.129,-8.322,0.0264,0.354,119.966
230,coney island (feat. The National),evermore,2021-01-07,275,63,0.537,0.819,0.537,0.000904,0.142,-11.266,0.0617,0.292,107.895
231,ivy,evermore,2021-01-07,260,64,0.515,0.855,0.545,1.97e-05,0.0921,-9.277,0.0353,0.535,88.856
232,cowboy like me,evermore,2021-01-07,275,63,0.604,0.768,0.517,0.000155,0.123,-9.014,0.0347,0.511,127.967
233,long story short,evermore,2021-01-07,216,63,0.546,0.66,0.73,0.179,0.0972,-7.704,0.0417,0.573,157.895
234,marjorie,evermore,2021-01-07,258,62,0.535,0.876,0.561,0.000136,0.115,-11.609,0.0484,0.287,96.103
235,closure,evermore,2021-01-07,181,61,0.689,0.835,0.704,4.83e-06,0.134,-10.813,0.245,0.92,151.884
236,evermore (feat. Bon Iver),evermore,2021-01-07,304,63,0.39,0.937,0.27,0.00227,0.111,-10.673,0.0308,0.32,125.177
237,right where you left me - bonus track,evermore,2021-01-07,245,70,0.581,0.769,0.619,0.000106,0.117,-6.524,0.0282,0.645,137.915
238,it’s time to go - bonus track,evermore,2021-01-07,255,67,0.592,0.801,0.41,1.39e-05,0.09,-12.426,0.0397,0.416,151.923
